geoid,name,variable,estimate,moe
2400400,"Adelphi CDP, Maryland",B01003_001,15040,1033
2400400,"Adelphi CDP, Maryland",B03002_012,5589,827
2401450,"Andrews AFB CDP, Maryland",B01003_001,2719,529
2401450,"Andrews AFB CDP, Maryland",B03002_012,379,289
2406400,"Beltsville CDP, Maryland",B01003_001,15444,816
2406400,"Beltsville CDP, Maryland",B03002_012,3511,666
2406925,"Berwyn Heights town, Maryland",B01003_001,3102,21
2406925,"Berwyn Heights town, Maryland",B03002_012,770,181
2407850,"Bladensburg town, Maryland",B01003_001,8918,53
2407850,"Bladensburg town, Maryland",B03002_012,2272,554
2408775,"Bowie city, Maryland",B01003_001,54314,71
2408775,"Bowie city, Maryland",B03002_012,3380,752
2409500,"Brentwood town, Maryland",B01003_001,3037,17
2409500,"Brentwood town, Maryland",B03002_012,1266,317
2413000,"Capitol Heights town, Maryland",B01003_001,4298,47
2413000,"Capitol Heights town, Maryland",B03002_012,55,88
2416550,"Cheverly town, Maryland",B01003_001,6234,23
2416550,"Cheverly town, Maryland",B03002_012,732,403
2418750,"College Park city, Maryland",B01003_001,29596,32
2418750,"College Park city, Maryland",B03002_012,3082,438
2418850,"Colmar Manor town, Maryland",B01003_001,1383,207
2418850,"Colmar Manor town, Maryland",B03002_012,555,169
2420050,"Cottage City town, Maryland",B01003_001,1106,173
2420050,"Cottage City town, Maryland",B03002_012,429,160
2423025,"District Heights city, Maryland",B01003_001,5858,66
2423025,"District Heights city, Maryland",B03002_012,79,136
2424200,"Eagle Harbor town, Maryland",B01003_001,19,23
2424200,"Eagle Harbor town, Maryland",B03002_012,0,127
2425425,"Edmonston town, Maryland",B01003_001,1328,235
2425425,"Edmonston town, Maryland",B03002_012,624,224
2427400,"Fairmount Heights town, Maryland",B01003_001,1292,221
2427400,"Fairmount Heights town, Maryland",B03002_012,161,113
2428725,"Forest Heights town, Maryland",B01003_001,2152,250
2428725,"Forest Heights town, Maryland",B03002_012,185,124
2432500,"Glenarden city, Maryland",B01003_001,6069,21
2432500,"Glenarden city, Maryland",B03002_012,242,201
2434775,"Greenbelt city, Maryland",B01003_001,22817,40
2434775,"Greenbelt city, Maryland",B03002_012,2242,605
2441250,"Hyattsville city, Maryland",B01003_001,17254,43
2441250,"Hyattsville city, Maryland",B03002_012,5991,751
2445400,"Landover Hills town, Maryland",B01003_001,1876,274
2445400,"Landover Hills town, Maryland",B03002_012,909,207
2445900,"Laurel city, Maryland",B01003_001,24433,63
2445900,"Laurel city, Maryland",B03002_012,3651,736
2453625,"Morningside town, Maryland",B01003_001,1683,525
2453625,"Morningside town, Maryland",B03002_012,403,499
2454275,"Mount Rainier city, Maryland",B01003_001,8149,23
2454275,"Mount Rainier city, Maryland",B03002_012,2210,454
2455400,"New Carrollton city, Maryland",B01003_001,12123,30
2455400,"New Carrollton city, Maryland",B03002_012,3447,673
2456375,"North Brentwood town, Maryland",B01003_001,555,163
2456375,"North Brentwood town, Maryland",B03002_012,200,128
2466635,"Riverdale Park town, Maryland",B01003_001,6893,21
2466635,"Riverdale Park town, Maryland",B03002_012,2924,450
2470850,"Seat Pleasant city, Maryland",B01003_001,4612,20
2470850,"Seat Pleasant city, Maryland",B03002_012,169,161
2479675,"University Park town, Maryland",B01003_001,2528,26
2479675,"University Park town, Maryland",B03002_012,325,141
2479875,"Upper Marlboro town, Maryland",B01003_001,739,194
2479875,"Upper Marlboro town, Maryland",B03002_012,65,61
