,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jul,Export Loads,"  65,423 ","  61,111 ","  71,247 ","73,709.00","88,398.75","82,534.25","83,437.75","77,174.00","75,702.75","82,853.00","80,954.75","68,593.75","81,067.50","85,169.50"
Jul,Import Loads,"  58,313 ","  65,771 ","  68,534 ","78,709.00","89,410.50","95,080.25","96,918.50","100,105.50","109,215.25","120,132.00","125,259.50","105,691.75","142,962.75","149,828.75"
Jul,Export Empties,"  9,360 ","  20,056 ","  15,686 ","20,690.00","17,964.50","23,502.00","39,246.50","37,541.00","46,854.75","48,182.00","56,696.00","45,383.50","66,842.00","78,364.50"
Jul,Import Empties,"  9,074 ","  7,007 ","  11,609 ","7,276.00","9,363.50","6,654.50","6,385.50","3,089.25","2,457.25","1,512.00","2,649.00","1,359.00","2,254.00","4,327.75"
Jul,Total TEUs,"  142,170 ","  153,945 ","  167,076 ","180,384.00","205,137.25","207,771.00","225,988.25","217,909.75","234,230.00","252,679.00","265,559.25","221,028.00","293,126.25","317,690.50"
,,,,,,,,,,,,,,,
Aug,Export Loads,"  68,823 ","  68,069 ","  66,532 ","78,028.75","83,210.00","85,852.25","77,388.00","84,430.75","75,430.00","83,512.25","80,654.75","75,325.00","85,256.25","95,745.00"
Aug,Import Loads,"  60,431 ","  72,959 ","  62,960 ","81,770.25","90,565.25","89,698.25","93,043.75","107,268.00","113,187.75","117,041.50","121,542.25","120,913.75","144,226.00","160,673.25"
Aug,Export Empties,"  11,700 ","  24,547 ","  15,387 ","20,761.00","17,371.75","34,269.00","43,513.00","40,049.00","50,063.75","56,726.75","54,405.25","50,159.75","75,925.00","80,410.25"
Aug,Import Empties,"  10,051 ","  9,547 ","  7,096 ","8,097.50","7,182.00","4,535.75","6,124.25","3,763.25","1,923.00","1,540.00","1,073.00",950.00,"1,616.00","4,097.00"
Aug,Total TEUs,"  151,005 ","  175,122 ","  151,975 ","188,657.50","198,329.00","214,355.25","220,069.00","235,511.00","240,604.50","258,820.50","257,675.25","247,348.50","307,023.25","340,925.50"
,,,,,,,,,,,,,,,
Sep,Export Loads,"  70,008 ","  60,866 ","  68,437 ","78,224.00","80,569.75","77,345.50","76,253.50","81,902.00","76,794.25","65,587.75","71,560.50","75,525.75","80,696.50",
Sep,Import Loads,"  63,706 ","  65,747 ","  67,022 ","76,750.00","80,028.75","87,039.50","92,721.50","100,229.25","109,716.00","108,980.50","114,642.50","121,114.75","152,196.50",
Sep,Export Empties,"  13,262 ","  21,075 ","  18,860 ","20,493.25","17,217.00","32,521.50","42,798.25","35,027.50","49,844.25","44,970.25","52,765.50","57,704.00","70,927.75",
Sep,Import Empties,"  10,467 ","  5,318 ","  9,731 ","6,850.50","7,369.00","4,206.75","3,747.00","2,698.50","1,461.00","1,816.25","2,447.00","2,094.00","2,395.00",
Sep,Total TEUs,"  157,443 ","  153,006 ","  164,050 ","182,317.75","185,184.50","201,113.25","215,520.25","219,857.25","237,815.50","221,354.75","241,415.50","256,438.50","306,215.75",
,,,,,,,,,,,,,,,
Oct,Export Loads,"  70,232 ","  73,317 ","  73,367 ","73,756.00","90,190.00","86,908.50","78,780.00","88,796.25","87,749.75","83,576.75","83,556.50","83,705.00","88,710.25",
Oct,Import Loads,"  63,222 ","  75,750 ","  71,695 ","72,946.00","92,093.00","98,066.00","100,230.25","114,093.00","125,075.25","127,676.50","124,142.25","131,769.75","148,211.50",
Oct,Export Empties,"  10,762 ","  16,932 ","  17,720 ","22,334.00","17,439.50","30,847.75","50,516.25","32,711.75","51,182.50","58,615.75","57,427.25","57,644.25","79,084.75",
Oct,Import Empties,"  15,566 ","  9,519 ","  9,995 ","6,294.00","6,874.75","5,282.50","3,939.50","2,966.25","1,482.25",669.00,"1,850.00","1,096.00","2,475.00",
